domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
anonyt2ag36vsb5pozxxwduasp3ljf3wgbwsnfoahjlt2ntabtrcavid.onion,7,7,2025-10-18,2025-10-27,0.09240000000000001
bulkbwcenkw56gdnf27palrlcumq273sbe6ha2nmjfpelpzbtouobmid.onion,14,7,2025-10-18,2025-10-27,0.15385000000000001
qjq35in4r3q75zpkduf64x6ibzkhzkfywy2325mm3jh575uq2l5macid.onion,7,7,2025-10-18,2025-10-27,0.21057142857142858
a5u3azibcl3sae3d3jylldn23eiyqdujihs2i6ihsizylpbmvn4w2oyd.onion,35,7,2025-10-18,2025-10-27,0.13873428571428573
linkscgvcp7rpfg46zne3fyexm3ja6tslehbuix7gfk4jkbzquqr2did.onion,7,7,2025-10-18,2025-10-27,0.1066
darknet3k2m4j6wwdrrrhhrojkkphmwfqe3nvfix6kjmjpwlgryuomqd.onion,30,7,2025-10-21,2025-10-27,0.12301666666666668
domarketrxqrqi6sqqyliauna5thlhpxvbcpemdo7mw4fcpjnkx5laad.onion,7,7,2025-10-18,2025-10-27,0.17665714285714287
dpshopkpgndqpqjxx63mrceodg6n2kz7imx6ccmzegbgc4mecoia75ad.onion,70,7,2025-10-18,2025-10-27,0.053380000000000004
ylvopurg5nzfq5n73kprotytazvaxtbmikkzrtleqghyiwrruq4cwqid.onion,7,7,2025-10-18,2025-10-27,0.0
drug4rvoqsqhra6lyyekgetnjvwkr4h7qxkgl6wjmzfuqhrc4ybeyzid.onion,7,7,2025-10-18,2025-10-26,0.0327
drugaxie7iirothwps3kfe7strgpelugstnqcodcxwz4mjbeasv7qlad.onion,7,7,2025-10-21,2025-10-27,0.0327
darknet3szyhadtd2xgyvmgaoe6dn3evo6irnjljsaz5fx2e4yfo7aad.onion,10,7,2025-10-21,2025-10-27,0.09835
druggwi74icpxx7ywk6igvwwx4g757ozl7wmihri3cxr4y56s3q72vad.onion,7,7,2025-10-21,2025-10-27,0.0272
darknet3qyxebxlc7ssv77ph2hlsmtgjuzsam4jk4ufglewzmuxqv2qd.onion,7,7,2025-10-21,2025-10-27,0.0692
drugidjjstv6lklmqeqd7eypjjtc24niaskpivrwa5wmb3vwd2ndwgyd.onion,14,7,2025-10-21,2025-10-27,0.040799999999999996
darknet3pufx2lniuiki4mobp3uzkx5jmeaabr2nfswl4wxbpjplzvad.onion,10,7,2025-10-21,2025-10-27,0.10150999999999999
darknet3p74rr5uste7zyw7rpzhwm52quvqodsxbimcvkwm2yah2xiid.onion,10,7,2025-10-21,2025-10-27,0.10907
darknet3owxkhalacqtgscvt7mismvqqzsmgeu4qlx52vjun2rs5ihad.onion,9,7,2025-10-21,2025-10-27,0.0932888888888889
efdpwqctrwjfsl44kmxdvfn4ljwqf2e6w3h3jr74dlm6cnueolyxpyid.onion,21,7,2025-10-18,2025-10-27,0.1699
darknet3kcj5h7et4fylkshwo7zykwf5n7etafc7xe7gw3moj4iex6yd.onion,19,7,2025-10-21,2025-10-27,0.12303157894736842
tldnuohd3q2jcvro6dogjsx2muejit243ckk3jcsn3xiy4ui74htbgyd.onion,14,7,2025-10-21,2025-10-27,0.2422
darknet3junnu55hml64kycwxv5tws23o4hcgl73blgo5h7aoexhu4yd.onion,24,7,2025-10-21,2025-10-27,0.12332916666666667
hellfor6lms7ymehau66mojeg7wom2mjkua6zked7l2t6vhtjhgzinid.onion,7,7,2025-10-21,2025-10-27,0.1228
bags3opronrsfn4umq5w7zaaqillxfq4ml3vrqyb47vid6ujbywarqyd.onion,7,7,2025-10-18,2025-10-27,0.4438
darknet3jmlenxbn5tbqrd6tbjbuqipxp7lekxbl7fycpxzaohnsduid.onion,24,7,2025-10-21,2025-10-27,0.11702916666666667
darknet3gu526vp7vmhujatzikwbjs3i4t4u6gklvhv6kuzlpc4rfkad.onion,27,7,2025-10-21,2025-10-27,0.1257074074074074
hxnlhmafy242va6sjxcvcu7zq6m2gz75vgncynpeiwqtkjkdv2i6gjad.onion,38,7,2025-10-21,2025-10-27,0.13571842105263157
hellccam72ck3wajux74nordnnx6aoj5odun2bqnt6vggfz5nca4noyd.onion,40,7,2025-10-18,2025-10-27,0.095945
hoffmjhosspnaiegwpv4jfzcby7ylk4qps2l532eqa2ovwo2q22i36ad.onion,14,7,2025-10-18,2025-10-27,0.1564
imperiagyuyeusw5lg6koiltvawuu4qukqnn5rrsn3uvedlk722w6lad.onion,6,6,2025-10-18,2025-10-27,0.4917
imperiag4j4rowf66dcv244dbabt4noiskbfzpoc4s5gn5uylistn6id.onion,6,6,2025-10-21,2025-10-27,0.4917
4rzs2b6hhi7jlq7crwyts6qcxxz4nmkmdkf3sblbjzcbxlj5mgsse5ad.onion,6,6,2025-10-21,2025-10-27,0.0257
hellfor66qwqjvkgtcaxzbk3wdyh3avb55utbf4zmgooh5qljxdnabyd.onion,6,6,2025-10-21,2025-10-27,0.1228
scaa6fzk2n2rj5gxtv3p5nmbfhvu6wscj4vysw7hz3pycawsekdimhyd.onion,18,6,2025-10-18,2025-10-27,0.1947
primo4cxoq3icwp76deqzitc22x6qsyuounadwobgn54ea372iqbw5id.onion,6,6,2025-10-18,2025-10-27,0.21210000000000004
xcluusuncmrjq6qw25aix7sxlpgpnjaudr5tyxp7j7egf4yydm2thzid.onion,50,5,2025-10-18,2025-10-27,0.08707000000000001
e5vkh6avpbpo3jdkvrzqlsydxw6md5pyyou4jjzvj4z7rzlrwobx2iyd.onion,10,5,2025-10-21,2025-10-27,0.29855
rainb7y36yqrool6vavghfc4ajop42zpbp552kojcfgmlmu4ngiy2zid.onion,5,5,2025-10-18,2025-10-26,0.4438
verifieds37pigiwq74wuc5os4gjzahm3v7gjm6icyzuekocso2cdmqd.onion,4,4,2025-10-24,2025-10-27,0.26
verifiedsk5zfspc2jli3fmwi26vrgganyto3t44bkrhtprhx2ukkyid.onion,4,4,2025-10-24,2025-10-27,0.26
4rzs2b6hxhyuimraf3jemziw4h6p7yeom4w57fhs2qdvpmts6rez77yd.onion,4,4,2025-10-18,2025-10-25,0.0257
22222vtmbmeiqelg362kpbxexy3h6kucj2hxzviqmfjv7l6t6hjuxoad.onion,4,4,2025-10-24,2025-10-27,0.0398
tor444lpze2bnktsbio6vahhzn3pbxkrqz73po4l3kx2z3523czak2id.onion,4,4,2025-10-24,2025-10-27,0.0398
rainbowgocqywnb2pqyngc33uje43zwyl5s3pdhw5iqy26qg7nxazbqd.onion,4,4,2025-10-18,2025-10-24,0.4438
forumup4mrybxqweysxevr3nfivmphrwq5tngxbhixwppzji34y454id.onion,23,4,2025-10-24,2025-10-27,0.23856521739130435
hdxzeg5v6s5ujbvixuh7c7dtpka7olqb2tlpwol3jfufw7ttmbtasxad.onion,4,4,2025-10-18,2025-10-27,0.3069
darkxea62ub3sv4joo5jahql7twujm6yyoic6dfaojrstc7yg7vtiuad.onion,4,4,2025-10-18,2025-10-23,0.18805
vvuliaegr5mwqcgl5cdafblooxwfq6jbmwkltt543nqmuimhcjibuyid.onion,3,3,2025-10-22,2025-10-26,-0.1175
legittslmienzixb3akcz2he5rpceln6bao5atbltochbyscgzz3mtid.onion,6,3,2025-10-24,2025-10-27,0.16990000000000002
wvaelbpvuh4x6lldesvkkycelyrt3vrzlig7ktujqkyoga4h6ypvzjqd.onion,9,3,2025-10-25,2025-10-27,0.20936666666666667
t3bzo3wawgsbar2mdcmbepdabptywpstpq6sa3nznditjrcxh3oodgad.onion,3,3,2025-10-21,2025-10-23,0.041
5rtkz4w4d5wg6xgp26vrcg53kvwlbm5t43azfxihge2xnjftdoi6npid.onion,2,2,2025-10-18,2025-10-21,0.0298
